id,text,expected_intent,expected_sentiment,expected_escalation
77,That answer was very helpful,GENERAL_CHAT,SATISFIED,false
78,I am not sure what you mean,GENERAL_CHAT,CONFUSED,false
79,This app keeps wasting my time and I need human help to resolve it,GENERAL_CHAT,FRUSTRATED,true
80,I am furious about this experience,GENERAL_CHAT,ANGRY,true
81,Tell me a fun fact,OTHER,NEUTRAL,false
82,Thank you so much for your help,GENERAL_CHAT,SATISFIED,false
83,Can you explain that differently?,GENERAL_CHAT,CONFUSED,false
84,Nothing works and I need a person now,GENERAL_CHAT,FRUSTRATED,true
85,I am disappointed with the service,GENERAL_CHAT,FRUSTRATED,false
86,Good morning,GENERAL_CHAT,NEUTRAL,false
87,That solved my problem perfectly,GENERAL_CHAT,SATISFIED,false
88,I have no idea what to do next,GENERAL_CHAT,CONFUSED,false
89,Translate this sentence into Portuguese,OTHER,NEUTRAL,false
90,Tell me a joke about robots,OTHER,NEUTRAL,false
91,Write a short poem about the ocean,OTHER,NEUTRAL,false
92,What is the capital of Japan?,OTHER,NEUTRAL,false
93,I do not understand quantum computing. Please explain it,OTHER,CONFUSED,false
94,Summarize this article for me,OTHER,NEUTRAL,false
95,I need a human to explain your privacy policy because I do not understand it,GENERAL_CHAT,CONFUSED,true
96,Generate a password suggestion,OTHER,NEUTRAL,false
97,This response is offensive and I want to complain,GENERAL_CHAT,ANGRY,true
98,How do I change the language setting in this app?,GENERAL_CHAT,NEUTRAL,false
99,I am frustrated because the website is inaccessible,GENERAL_CHAT,FRUSTRATED,false
100,What can you do for me?,GENERAL_CHAT,NEUTRAL,false
